,message length,density,rep,tau fact.,order
55,0.08517842444971269,5,3,0.1,4
56,4.136168041602186,5,3,1.0,1
57,2.9371780092637945,5,3,1.0,2
58,2.2310172007914177,5,3,1.0,3
59,1.712526400812267,5,3,1.0,4
60,4.603316238756136,5,3,10.0,1
61,4.605675914371377,5,3,10.0,2
62,4.605280606269466,5,3,10.0,3
63,4.604417179322066,5,3,10.0,4
64,0.005701649858946965,5,4,0.01,1
65,0.003960487158584387,5,4,0.01,2
66,0.0033674218017323773,5,4,0.01,3
67,0.0023235838965760536,5,4,0.01,4
68,0.4136987470169384,5,4,0.1,1
69,0.27860333347890737,5,4,0.1,2
70,0.21405250892645292,5,4,0.1,3
71,0.1487371483580926,5,4,0.1,4
72,4.938214113496027,5,4,1.0,1
73,3.7967003402217943,5,4,1.0,2
74,3.133277349253044,5,4,1.0,3
75,2.485256448382198,5,4,1.0,4
76,4.605543414966356,5,4,10.0,1
77,4.604613942059267,5,4,10.0,2
78,4.605253497980791,5,4,10.0,3
79,4.6046708047191975,5,4,10.0,4
80,0.008825625427706332,5,5,0.01,1
81,0.006363141008988965,5,5,0.01,2
82,0.006258207861443484,5,5,0.01,3
83,0.005346884990091283,5,5,0.01,4
84,0.4586388700263699,5,5,0.1,1
85,0.3018565128683155,5,5,0.1,2
86,0.2655557939631024,5,5,0.1,3
87,0.20339957630812222,5,5,0.1,4
88,4.5980404214187125,5,5,1.0,1
89,4.365758525004226,5,5,1.0,2
90,3.264644143727101,5,5,1.0,3
91,2.4995405035254663,5,5,1.0,4
92,4.6057156900684415,5,5,10.0,1
93,4.6055165462788334,5,5,10.0,2
94,4.605249741977055,5,5,10.0,3
95,4.604670416145798,5,5,10.0,4
96,0.001759460792505857,5,6,0.01,1
97,0.0012498388859323306,5,6,0.01,2
98,0.001135476618842661,5,6,0.01,3
99,0.0008031033713962188,5,6,0.01,4
100,0.14798816586951954,5,6,0.1,1
101,0.1011092730971902,5,6,0.1,2
102,0.08838674764917973,5,6,0.1,3
103,0.06263021453856332,5,6,0.1,4
104,3.174247989911836,5,6,1.0,1
105,2.376202757452444,5,6,1.0,2
106,1.6132676191341289,5,6,1.0,3
107,1.2532572647438927,5,6,1.0,4
108,4.586278700239769,5,6,10.0,1
109,4.60578201704222,5,6,10.0,2
110,4.605285618490443,5,6,10.0,3
111,4.604120029646562,5,6,10.0,4
112,0.009079636893209342,5,7,0.01,1
113,0.007633958591036577,5,7,0.01,2
114,0.006961957386709884,5,7,0.01,3
115,0.005629797343018161,5,7,0.01,4
116,0.46760015155824414,5,7,0.1,1
117,0.3198618430576417,5,7,0.1,2
118,0.2636009785928862,5,7,0.1,3
119,0.184288625452953,5,7,0.1,4
120,4.716946254191094,5,7,1.0,1
121,4.113835504879125,5,7,1.0,2
122,2.976145750307664,5,7,1.0,3
123,2.214641755451695,5,7,1.0,4
124,4.603909901270697,5,7,10.0,1
125,4.605569490004172,5,7,10.0,2
126,4.605254369595959,5,7,10.0,3
127,4.60467079956981,5,7,10.0,4
128,0.0028449208466286777,5,8,0.01,1
129,0.0018924700006463166,5,8,0.01,2
130,0.0015751485966569237,5,8,0.01,3
131,0.001534767297330042,5,8,0.01,4
132,0.1994068541870042,5,8,0.1,1
133,0.13199333308550487,5,8,0.1,2
134,0.10247672505978413,5,8,0.1,3
135,0.0876669990901826,5,8,0.1,4
136,3.6228176329205777,5,8,1.0,1
137,2.874627250452406,5,8,1.0,2
138,2.141818564364728,5,8,1.0,3
139,1.5564854459021285,5,8,1.0,4
140,4.605480540732351,5,8,10.0,1
141,4.605468821541849,5,8,10.0,2
142,4.605260285883777,5,8,10.0,3
143,4.604550442437675,5,8,10.0,4
144,0.0012620079500439696,5,9,0.01,1
145,0.0008886739087176354,5,9,0.01,2
146,0.000823621771796991,5,9,0.01,3
147,0.0005873772083555551,5,9,0.01,4
148,0.10613568717417096,5,9,0.1,1
149,0.07266317765758981,5,9,0.1,2
150,0.06393553470520276,5,9,0.1,3
151,0.044166538110578024,5,9,0.1,4
152,2.858290041704887,5,9,1.0,1
153,2.1642579212320125,5,9,1.0,2
154,1.4890395131273273,5,9,1.0,3
155,0.9524828023359011,5,9,1.0,4
156,4.543465562165955,5,9,10.0,1
157,4.602703744096475,5,9,10.0,2
158,4.579907618762985,5,9,10.0,3
159,4.603863260826431,5,9,10.0,4
160,0.002319926684423247,5,10,0.01,1
161,0.0016250749212949195,5,10,0.01,2
162,0.0015750873214349717,5,10,0.01,3
163,0.0011043077894568043,5,10,0.01,4
164,0.16958479956478054,5,10,0.1,1
165,0.11867081244208628,5,10,0.1,2
166,0.10466402942450634,5,10,0.1,3
167,0.07321772021473993,5,10,0.1,4
168,3.0320965733433827,5,10,1.0,1
169,2.3907933682182807,5,10,1.0,2
170,1.6128266926835506,5,10,1.0,3
171,1.1688167101484805,5,10,1.0,4
172,4.602246516375312,5,10,10.0,1
173,4.605667589820297,5,10,10.0,2
174,4.605187405794875,5,10,10.0,3
175,4.604318565780065,5,10,10.0,4
176,0.004175613306464598,5,11,0.01,1
177,0.0022992581517606928,5,11,0.01,2
178,0.002114133086553706,5,11,0.01,3
179,0.0013840869032568648,5,11,0.01,4
180,0.31131119559447706,5,11,0.1,1
181,0.18026156807492033,5,11,0.1,2
182,0.15506552419349307,5,11,0.1,3
183,0.10532034878700625,5,11,0.1,4
184,3.8846195617597856,5,11,1.0,1
185,3.1896258718325545,5,11,1.0,2
